[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 4.736 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 2.639 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 3.148 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 0.320 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 400 [response-time]: 1011.420 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 0.316 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 42.743 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 0.286 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 200 [response-time]: 0.352 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 5.278 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 21.266 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 4.606 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 6.205 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 3.967 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 5.132 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 0.368 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 200 [response-time]: 0.315 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 4.039 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 4.579 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/user_add_quotation HTTP/1.1 [status]: 200 [response-time]: 0.227 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/quotation/user_add_quotation HTTP/1.1 [status]: 200 [response-time]: 200.274 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/quotation/user_add_quotation HTTP/1.1 [status]: 200 [response-time]: 83.897 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/user_add_quotation HTTP/1.1 [status]: 200 [response-time]: 0.294 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/quotation/user_add_quotation HTTP/1.1 [status]: 200 [response-time]: 79.268 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/user_add_quotation HTTP/1.1 [status]: 200 [response-time]: 0.407 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/quotation/user_add_quotation HTTP/1.1 [status]: 200 [response-time]: 108.291 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/quotation/user_add_quotation HTTP/1.1 [status]: 200 [response-time]: 82.704 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
